file_audio;room_type;volume_m3;t30_1000Hz;t30_2000Hz;t30_4000Hz;t30_broadband
aula_variants_150/aula_112.wav;aula;174.407;6.343;3.648;2.556;3.275
aula_variants_150/aula_113.wav;aula;215.818;1.494;1.46;1.152;1.161
aula_variants_150/aula_114.wav;aula;193.951;7.496;6.815;2.777;4.356
aula_variants_150/aula_115.wav;aula;223.8;6.235;3.047;2.466;2.494
aula_variants_150/aula_116.wav;aula;197.138;2.416;2.405;2.062;2.404
aula_variants_150/aula_117.wav;aula;165.629;5.885;3.595;2.643;3.651
aula_variants_150/aula_118.wav;aula;185.178;1.578;1.436;1.498;1.16
aula_variants_150/aula_119.wav;aula;189.914;3.36;3.421;2.802;2.846
aula_variants_150/aula_120.wav;aula;221.551;5.277;3.888;2.997;4.008
aula_variants_150/aula_121.wav;aula;224.624;4.835;3.748;3.099;4.409
aula_variants_150/aula_122.wav;aula;194.863;2.989;2.96;2.332;2.386
aula_variants_150/aula_123.wav;aula;181.482;4.561;4.047;2.742;3.332
aula_variants_150/aula_124.wav;aula;203.28;4.879;4.478;3.018;4.052
aula_variants_150/aula_125.wav;aula;188.714;6.12;4.666;3.093;5.246
aula_variants_150/aula_126.wav;aula;211.252;3.875;2.835;2.107;2.744
aula_variants_150/aula_127.wav;aula;211.645;2.039;2.006;2.014;1.55
aula_variants_150/aula_128.wav;aula;203.663;5.21;4.617;3.128;4.101
aula_variants_150/aula_129.wav;aula;173.357;5.532;5.384;2.503;4.096
aula_variants_150/aula_130.wav;aula;206.494;4.971;4.493;2.704;4.772
aula_variants_150/aula_131.wav;aula;196.315;3.41;3.519;2.193;2.61
aula_variants_150/aula_132.wav;aula;184.491;5.372;4.296;3.07;4.396
aula_variants_150/aula_133.wav;aula;190.845;6.228;5.357;3.604;6.081
aula_variants_150/aula_134.wav;aula;208.29;2.993;2.947;2.211;2.973
aula_variants_150/aula_135.wav;aula;195.433;5.001;4.543;2.726;3.611
aula_variants_150/aula_136.wav;aula;197.412;3.818;1.873;1.632;1.879
aula_variants_150/aula_137.wav;aula;201.916;7.091;4.942;3.334;4.949
aula_variants_150/aula_138.wav;aula;180.845;3.735;3.579;2.455;2.498
aula_variants_150/aula_139.wav;aula;173.616;4.013;3.321;2.618;3.52
aula_variants_150/aula_140.wav;aula;175.655;4.782;4.042;2.982;4.303
aula_variants_150/aula_141.wav;aula;173.395;4.127;2.514;2.394;2.43
aula_variants_150/aula_142.wav;aula;214.854;2.817;3.002;1.484;2.833
aula_variants_150/aula_143.wav;aula;214.204;4.175;3.425;2.87;3.349
aula_variants_150/aula_144.wav;aula;195.118;6.532;3.905;2.448;3.283
aula_variants_150/aula_145.wav;aula;180.37;2.808;2.783;2.76;2.791
aula_variants_150/aula_146.wav;aula;230.898;6.046;4.547;3.35;5.682
aula_variants_150/aula_147.wav;aula;191.913;5.956;4.296;2.464;4.319
aula_variants_150/aula_148.wav;aula;221.382;3.888;3.907;2.596;2.635
aula_variants_150/aula_149.wav;aula;242.849;6.567;5.605;3.321;5.609
aula_variants_150/aula_150.wav;aula;215.892;4.781;3.472;2.248;2.666
bagno_variants_150/bagno_001.wav;bagno;14.009;1.924;2.0;1.671;1.805
bagno_variants_150/bagno_002.wav;bagno;13.108;1.532;1.447;1.53;1.307
bagno_variants_150/bagno_004.wav;bagno;13.106;1.928;1.996;1.776;1.789
bagno_variants_150/bagno_005.wav;bagno;13.521;2.007;1.948;1.815;1.829
bagno_variants_150/bagno_006.wav;bagno;10.869;1.555;1.617;1.422;1.385
bagno_variants_150/bagno_007.wav;bagno;14.341;2.042;1.979;1.784;1.847
bagno_variants_150/bagno_008.wav;bagno;14.369;1.578;1.691;1.598;1.393
bagno_variants_150/bagno_009.wav;bagno;12.309;1.722;1.644;1.624;1.47
bagno_variants_150/bagno_010.wav;bagno;10.935;1.616;1.702;1.49;1.502
bagno_variants_150/bagno_011.wav;bagno;13.828;1.681;1.742;1.484;1.519
bagno_variants_150/bagno_012.wav;bagno;11.362;1.322;1.405;1.456;1.257
bagno_variants_150/bagno_013.wav;bagno;10.849;1.588;1.786;1.563;1.547
bagno_variants_150/bagno_014.wav;bagno;13.571;1.684;1.638;1.557;1.486
bagno_variants_150/bagno_015.wav;bagno;13.329;1.765;1.923;1.646;1.717
bagno_variants_150/bagno_016.wav;bagno;12.35;1.665;1.772;1.528;1.598
bagno_variants_150/bagno_017.wav;bagno;11.321;1.701;1.639;1.679;1.533
bagno_variants_150/bagno_018.wav;bagno;12.249;1.702;1.526;1.55;1.377
bagno_variants_150/bagno_019.wav;bagno;13.605;2.026;1.986;1.834;1.845
bagno_variants_150/bagno_020.wav;bagno;10.87;1.674;1.725;1.557;1.582
bagno_variants_150/bagno_021.wav;bagno;12.99;1.694;1.802;1.658;1.551
bagno_variants_150/bagno_022.wav;bagno;13.64;1.67;1.807;1.484;1.538
bagno_variants_150/bagno_023.wav;bagno;11.027;1.595;1.685;1.569;1.489
bagno_variants_150/bagno_024.wav;bagno;11.437;1.793;1.709;1.733;1.605
bagno_variants_150/bagno_025.wav;bagno;11.549;1.57;1.629;1.536;1.448
bagno_variants_150/bagno_026.wav;bagno;11.839;1.919;1.849;1.581;1.716
bagno_variants_150/bagno_027.wav;bagno;13.773;1.723;1.797;1.503;1.554
bagno_variants_150/bagno_028.wav;bagno;12.159;1.749;1.883;1.645;1.674
bagno_variants_150/bagno_029.wav;bagno;10.853;1.674;1.819;1.546;1.626
bagno_variants_150/bagno_030.wav;bagno;11.532;1.724;1.714;1.506;1.553
bagno_variants_150/bagno_031.wav;bagno;11.971;1.667;1.743;1.619;1.516
bagno_variants_150/bagno_032.wav;bagno;12.04;1.811;1.81;1.65;1.646
bagno_variants_150/bagno_033.wav;bagno;10.328;1.562;1.725;1.568;1.535
bagno_variants_150/bagno_034.wav;bagno;15.332;1.883;1.912;1.704;1.733
bagno_variants_150/bagno_035.wav;bagno;13.76;1.779;1.689;1.701;1.557
bagno_variants_150/bagno_036.wav;bagno;12.351;1.755;1.798;1.539;1.622
bagno_variants_150/bagno_037.wav;bagno;12.321;1.479;1.483;1.472;1.373
bagno_variants_150/bagno_038.wav;bagno;11.46;1.612;1.786;1.643;1.575
bagno_variants_150/bagno_039.wav;bagno;13.17;1.716;1.832;1.68;1.543
bagno_variants_150/bagno_040.wav;bagno;13.163;1.879;1.83;1.652;1.625
bagno_variants_150/bagno_041.wav;bagno;11.982;1.525;1.441;1.479;1.353
bagno_variants_150/bagno_042.wav;bagno;11.193;1.537;1.462;1.414;1.363
bagno_variants_150/bagno_043.wav;bagno;10.31;1.695;1.812;1.706;1.638
bagno_variants_150/bagno_044.wav;bagno;12.872;1.991;2.024;1.814;1.88
bagno_variants_150/bagno_045.wav;bagno;12.565;1.685;1.834;1.542;1.571
bagno_variants_150/bagno_046.wav;bagno;12.268;1.898;1.853;1.541;1.591
bagno_variants_150/bagno_047.wav;bagno;12.03;1.786;1.737;1.602;1.559
bagno_variants_150/bagno_048.wav;bagno;13.843;1.861;1.966;1.753;1.74
bagno_variants_150/bagno_049.wav;bagno;11.509;1.861;1.85;1.814;1.722
bagno_variants_150/bagno_050.wav;bagno;11.232;1.876;1.847;1.655;1.704
bagno_variants_150/bagno_051.wav;bagno;13.33;1.783;1.923;1.729;1.735
bagno_variants_150/bagno_052.wav;bagno;12.057;1.911;1.823;1.539;1.724
bagno_variants_150/bagno_053.wav;bagno;12.85;2.009;1.946;1.852;1.783
bagno_variants_150/bagno_054.wav;bagno;13.114;1.662;1.763;1.551;1.537
bagno_variants_150/bagno_055.wav;bagno;10.853;1.72;1.717;1.511;1.527
bagno_variants_150/bagno_056.wav;bagno;13.773;1.758;1.812;1.613;1.61
bagno_variants_150/bagno_057.wav;bagno;12.609;1.672;1.844;1.656;1.603
bagno_variants_150/bagno_058.wav;bagno;12.972;1.693;1.643;1.594;1.459
